2017-10-17T17:32:38;Filter 1 replaced;Filter 1
2017-10-17T17:35:26;Filter 1 replaced;Filter 1
2017-10-17T17:37:53;Filter 1 replaced;Filter 1
2017-10-17T17:38:27;Filter 1 replaced;Filter 1
2017-10-17T17:38:32;Filter 1 replaced;Filter 1
2017-10-17T17:38:36;Filter 1 replaced;Filter 1
2017-10-17T17:48:13;Filter 1 replaced;Filter 1
2017-10-17T17:48:49;Filter 1 replaced;Filter 1
2017-10-17T17:49:15;Filter 1 replaced;Filter 1
2017-10-17T17:52:36;Filter 1 replaced;Filter 1
2017-10-17T17:53:32;Filter 1 replaced;Filter 1
2017-10-17T17:53:39;Filter 1 replaced;Filter 1
2017-10-17T17:57:01;Filter 1 replaced;Filter 1
2017-10-17T18:04:12;Filter 1 replaced;Filter 1
2017-10-17T18:04:34;Filter 1 replaced;Filter 1
2017-10-17T18:09:55;Filter 1 replaced;Filter 1
2017-10-18T11:24:27;Filter 1 replaced;Filter 1
2017-10-18T11:26:26;Filter 1 replaced;Filter 1
2017-10-18T11:27:42;Filter 1 replaced;Filter 1
2017-10-21T16:48:51;Filter 1 replaced;Filter 1
2017-10-21T16:50:15;Filter 2 replaced;Filter 2
2017-10-21T16:51:22;Filter 2 replaced;Filter 2
2017-10-23T11:05:31;Filter 1 replaced;Filter 1
2017-09-23T11:59:37;Filter 1 replaced;Filter 1
